block,stress,treatment,date,days,count
1,Low,BC,12/22/09,0,0
1,Low,MC,12/22/09,0,0
1,Low,MR,12/22/09,0,0
2,Low,BC,12/22/09,0,0
2,Low,MC,12/22/09,0,0
2,Low,MR,12/22/09,0,0
3,Low,BC,12/22/09,0,0
3,Low,MC,12/22/09,0,0
3,Low,MR,12/22/09,0,0
4,Low,BC,12/22/09,0,0
4,Low,MC,12/22/09,0,0
4,Low,MR,12/22/09,0,0
5,Low,BC,12/22/09,0,0
5,Low,MC,12/22/09,0,0
5,Low,MR,12/22/09,0,0
6,Low,BC,12/22/09,0,0
6,Low,MC,12/22/09,0,0
6,Low,MR,12/22/09,0,0
7,Low,BC,12/22/09,0,0
7,Low,MC,12/22/09,0,0
7,Low,MR,12/22/09,0,0
8,Low,BC,12/22/09,0,0
8,Low,MC,12/22/09,0,0
8,Low,MR,12/22/09,0,0
9,Low,BC,12/22/09,0,0
9,Low,MC,12/22/09,0,0
9,Low,MR,12/22/09,0,0
10,High,BC,12/22/09,0,0
10,High,MC,12/22/09,0,0
10,High,MR,12/22/09,0,0
11,High,BC,12/22/09,0,0
11,High,MC,12/22/09,0,0
11,High,MR,12/22/09,0,0
12,High,BC,12/22/09,0,0
12,High,MC,12/22/09,0,0
12,High,MR,12/22/09,0,0
13,High,BC,12/22/09,0,0
13,High,MC,12/22/09,0,0
13,High,MR,12/22/09,0,0
14,High,BC,12/22/09,0,0
14,High,MC,12/22/09,0,0
14,High,MR,12/22/09,0,0
15,High,BC,12/22/09,0,0
15,High,MC,12/22/09,0,0
15,High,MR,12/22/09,0,0
16,High,BC,12/22/09,0,0
16,High,MC,12/22/09,0,0
16,High,MR,12/22/09,0,0
17,High,BC,12/22/09,0,0
17,High,MC,12/22/09,0,0
17,High,MR,12/22/09,0,0
18,High,BC,12/22/09,0,0
18,High,MC,12/22/09,0,0
18,High,MR,12/22/09,0,0
1,Low,BC,1/7/10,16,4
1,Low,MC,1/7/10,16,2
1,Low,MR,1/7/10,16,0
2,Low,BC,1/7/10,16,0
2,Low,MC,1/7/10,16,5
2,Low,MR,1/7/10,16,0
3,Low,BC,1/7/10,16,0
3,Low,MC,1/7/10,16,2
3,Low,MR,1/7/10,16,0
4,Low,BC,1/7/10,16,0
4,Low,MC,1/7/10,16,5
4,Low,MR,1/7/10,16,0
5,Low,BC,1/7/10,16,2
5,Low,MC,1/7/10,16,0
5,Low,MR,1/7/10,16,0
6,Low,BC,1/7/10,16,0
6,Low,MC,1/7/10,16,4
6,Low,MR,1/7/10,16,1
7,Low,BC,1/7/10,16,0
7,Low,MC,1/7/10,16,4
7,Low,MR,1/7/10,16,1
8,Low,BC,1/7/10,16,0
8,Low,MC,1/7/10,16,3
8,Low,MR,1/7/10,16,3
9,Low,BC,1/7/10,16,0
9,Low,MC,1/7/10,16,2
9,Low,MR,1/7/10,16,0
10,High,BC,1/7/10,16,0
10,High,MC,1/7/10,16,4
10,High,MR,1/7/10,16,1
11,High,BC,1/7/10,16,0
11,High,MC,1/7/10,16,3
11,High,MR,1/7/10,16,0
12,High,BC,1/7/10,16,0
12,High,MC,1/7/10,16,2
12,High,MR,1/7/10,16,0
13,High,BC,1/7/10,16,0
13,High,MC,1/7/10,16,1
13,High,MR,1/7/10,16,1
14,High,BC,1/7/10,16,0
14,High,MC,1/7/10,16,2
14,High,MR,1/7/10,16,0
15,High,BC,1/7/10,16,0
15,High,MC,1/7/10,16,0
15,High,MR,1/7/10,16,0
16,High,BC,1/7/10,16,1
16,High,MC,1/7/10,16,3
16,High,MR,1/7/10,16,1
17,High,BC,1/7/10,16,0
17,High,MC,1/7/10,16,1
17,High,MR,1/7/10,16,0
18,High,BC,1/7/10,16,3
18,High,MC,1/7/10,16,4
18,High,MR,1/7/10,16,0
1,Low,BC,1/14/10,23,5
1,Low,MC,1/14/10,23,4
1,Low,MR,1/14/10,23,0
2,Low,BC,1/14/10,23,0
2,Low,MC,1/14/10,23,5
2,Low,MR,1/14/10,23,0
3,Low,BC,1/14/10,23,0
3,Low,MC,1/14/10,23,2
3,Low,MR,1/14/10,23,0
4,Low,BC,1/14/10,23,0
4,Low,MC,1/14/10,23,4
4,Low,MR,1/14/10,23,0
5,Low,BC,1/14/10,23,3
5,Low,MC,1/14/10,23,1
5,Low,MR,1/14/10,23,0
6,Low,BC,1/14/10,23,0
6,Low,MC,1/14/10,23,2
6,Low,MR,1/14/10,23,4
7,Low,BC,1/14/10,23,0
7,Low,MC,1/14/10,23,4
7,Low,MR,1/14/10,23,1
8,Low,BC,1/14/10,23,1
8,Low,MC,1/14/10,23,3
8,Low,MR,1/14/10,23,3
9,Low,BC,1/14/10,23,1
9,Low,MC,1/14/10,23,3
9,Low,MR,1/14/10,23,0
10,High,BC,1/14/10,23,0
10,High,MC,1/14/10,23,4
10,High,MR,1/14/10,23,1
11,High,BC,1/14/10,23,1
11,High,MC,1/14/10,23,3
11,High,MR,1/14/10,23,0
12,High,BC,1/14/10,23,0
12,High,MC,1/14/10,23,3
12,High,MR,1/14/10,23,1
13,High,BC,1/14/10,23,0
13,High,MC,1/14/10,23,3
13,High,MR,1/14/10,23,2
14,High,BC,1/14/10,23,0
14,High,MC,1/14/10,23,4
14,High,MR,1/14/10,23,0
15,High,BC,1/14/10,23,0
15,High,MC,1/14/10,23,0
15,High,MR,1/14/10,23,0
16,High,BC,1/14/10,23,2
16,High,MC,1/14/10,23,3
16,High,MR,1/14/10,23,1
17,High,BC,1/14/10,23,1
17,High,MC,1/14/10,23,3
17,High,MR,1/14/10,23,0
18,High,BC,1/14/10,23,4
18,High,MC,1/14/10,23,4
18,High,MR,1/14/10,23,0
1,Low,BC,1/21/10,30,5
1,Low,MC,1/21/10,30,5
1,Low,MR,1/21/10,30,0
2,Low,BC,1/21/10,30,0
2,Low,MC,1/21/10,30,5
2,Low,MR,1/21/10,30,1
3,Low,BC,1/21/10,30,3
3,Low,MC,1/21/10,30,2
3,Low,MR,1/21/10,30,0
4,Low,BC,1/21/10,30,2
4,Low,MC,1/21/10,30,5
4,Low,MR,1/21/10,30,2
5,Low,BC,1/21/10,30,2
5,Low,MC,1/21/10,30,3
5,Low,MR,1/21/10,30,0
6,Low,BC,1/21/10,30,0
6,Low,MC,1/21/10,30,3
6,Low,MR,1/21/10,30,3
7,Low,BC,1/21/10,30,2
7,Low,MC,1/21/10,30,4
7,Low,MR,1/21/10,30,3
8,Low,BC,1/21/10,30,1
8,Low,MC,1/21/10,30,3
8,Low,MR,1/21/10,30,3
9,Low,BC,1/21/10,30,4
9,Low,MC,1/21/10,30,4
9,Low,MR,1/21/10,30,1
10,High,BC,1/21/10,30,2
10,High,MC,1/21/10,30,5
10,High,MR,1/21/10,30,1
11,High,BC,1/21/10,30,3
11,High,MC,1/21/10,30,3
11,High,MR,1/21/10,30,1
12,High,BC,1/21/10,30,2
12,High,MC,1/21/10,30,3
12,High,MR,1/21/10,30,0
13,High,BC,1/21/10,30,2
13,High,MC,1/21/10,30,3
13,High,MR,1/21/10,30,2
14,High,BC,1/21/10,30,0
14,High,MC,1/21/10,30,4
14,High,MR,1/21/10,30,2
15,High,BC,1/21/10,30,1
15,High,MC,1/21/10,30,1
15,High,MR,1/21/10,30,0
16,High,BC,1/21/10,30,2
16,High,MC,1/21/10,30,2
16,High,MR,1/21/10,30,3
17,High,BC,1/21/10,30,2
17,High,MC,1/21/10,30,3
17,High,MR,1/21/10,30,0
18,High,BC,1/21/10,30,4
18,High,MC,1/21/10,30,4
18,High,MR,1/21/10,30,0
1,Low,BC,1/28/10,37,5
1,Low,MC,1/28/10,37,5
1,Low,MR,1/28/10,37,0
2,Low,BC,1/28/10,37,1
2,Low,MC,1/28/10,37,5
2,Low,MR,1/28/10,37,3
3,Low,BC,1/28/10,37,3
3,Low,MC,1/28/10,37,5
3,Low,MR,1/28/10,37,0
4,Low,BC,1/28/10,37,2
4,Low,MC,1/28/10,37,5
4,Low,MR,1/28/10,37,4
5,Low,BC,1/28/10,37,4
5,Low,MC,1/28/10,37,4
5,Low,MR,1/28/10,37,3
6,Low,BC,1/28/10,37,1
6,Low,MC,1/28/10,37,5
6,Low,MR,1/28/10,37,0
7,Low,BC,1/28/10,37,3
7,Low,MC,1/28/10,37,4
7,Low,MR,1/28/10,37,4
8,Low,BC,1/28/10,37,1
8,Low,MC,1/28/10,37,3
8,Low,MR,1/28/10,37,4
9,Low,BC,1/28/10,37,5
9,Low,MC,1/28/10,37,5
9,Low,MR,1/28/10,37,5
10,High,BC,1/28/10,37,3
10,High,MC,1/28/10,37,5
10,High,MR,1/28/10,37,4
11,High,BC,1/28/10,37,4
11,High,MC,1/28/10,37,4
11,High,MR,1/28/10,37,4
12,High,BC,1/28/10,37,2
12,High,MC,1/28/10,37,4
12,High,MR,1/28/10,37,1
13,High,BC,1/28/10,37,2
13,High,MC,1/28/10,37,5
13,High,MR,1/28/10,37,4
14,High,BC,1/28/10,37,3
14,High,MC,1/28/10,37,4
14,High,MR,1/28/10,37,3
15,High,BC,1/28/10,37,1
15,High,MC,1/28/10,37,4
15,High,MR,1/28/10,37,2
16,High,BC,1/28/10,37,4
16,High,MC,1/28/10,37,3
16,High,MR,1/28/10,37,3
17,High,BC,1/28/10,37,5
17,High,MC,1/28/10,37,5
17,High,MR,1/28/10,37,3
18,High,BC,1/28/10,37,4
18,High,MC,1/28/10,37,4
18,High,MR,1/28/10,37,3
1,Low,BC,2/4/10,44,5
1,Low,MC,2/4/10,44,0
1,Low,MR,2/4/10,44,5
2,Low,BC,2/4/10,44,0
2,Low,MC,2/4/10,44,3
2,Low,MR,2/4/10,44,5
3,Low,BC,2/4/10,44,3
3,Low,MC,2/4/10,44,0
3,Low,MR,2/4/10,44,5
4,Low,BC,2/4/10,44,2
4,Low,MC,2/4/10,44,2
4,Low,MR,2/4/10,44,4
5,Low,BC,2/4/10,44,4
5,Low,MC,2/4/10,44,3
5,Low,MR,2/4/10,44,5
6,Low,BC,2/4/10,44,1
6,Low,MC,2/4/10,44,0
6,Low,MR,2/4/10,44,5
7,Low,BC,2/4/10,44,3
7,Low,MC,2/4/10,44,4
7,Low,MR,2/4/10,44,3
8,Low,BC,2/4/10,44,1
8,Low,MC,2/4/10,44,4
8,Low,MR,2/4/10,44,3
9,Low,BC,2/4/10,44,5
9,Low,MC,2/4/10,44,2
9,Low,MR,2/4/10,44,4
10,High,BC,2/4/10,44,4
10,High,MC,2/4/10,44,4
10,High,MR,2/4/10,44,5
11,High,BC,2/4/10,44,4
11,High,MC,2/4/10,44,4
11,High,MR,2/4/10,44,4
12,High,BC,2/4/10,44,2
12,High,MC,2/4/10,44,1
12,High,MR,2/4/10,44,4
13,High,BC,2/4/10,44,1
13,High,MC,2/4/10,44,4
13,High,MR,2/4/10,44,5
14,High,BC,2/4/10,44,3
14,High,MC,2/4/10,44,3
14,High,MR,2/4/10,44,4
15,High,BC,2/4/10,44,1
15,High,MC,2/4/10,44,2
15,High,MR,2/4/10,44,4
16,High,BC,2/4/10,44,4
16,High,MC,2/4/10,44,3
16,High,MR,2/4/10,44,3
17,High,BC,2/4/10,44,5
17,High,MC,2/4/10,44,1
17,High,MR,2/4/10,44,4
18,High,BC,2/4/10,44,4
18,High,MC,2/4/10,44,2
18,High,MR,2/4/10,44,5
1,Low,BC,2/11/10,51,5
1,Low,MC,2/11/10,51,0
1,Low,MR,2/11/10,51,5
2,Low,BC,2/11/10,51,0
2,Low,MC,2/11/10,51,2
2,Low,MR,2/11/10,51,5
3,Low,BC,2/11/10,51,1
3,Low,MC,2/11/10,51,0
3,Low,MR,2/11/10,51,3
4,Low,BC,2/11/10,51,2
4,Low,MC,2/11/10,51,4
4,Low,MR,2/11/10,51,5
5,Low,BC,2/11/10,51,4
5,Low,MC,2/11/10,51,3
5,Low,MR,2/11/10,51,4
6,Low,BC,2/11/10,51,1
6,Low,MC,2/11/10,51,0
6,Low,MR,2/11/10,51,4
7,Low,BC,2/11/10,51,3
7,Low,MC,2/11/10,51,3
7,Low,MR,2/11/10,51,2
8,Low,BC,2/11/10,51,1
8,Low,MC,2/11/10,51,4
8,Low,MR,2/11/10,51,3
9,Low,BC,2/11/10,51,4
9,Low,MC,2/11/10,51,5
9,Low,MR,2/11/10,51,3
10,High,BC,2/11/10,51,3
10,High,MC,2/11/10,51,4
10,High,MR,2/11/10,51,5
11,High,BC,2/11/10,51,4
11,High,MC,2/11/10,51,4
11,High,MR,2/11/10,51,4
12,High,BC,2/11/10,51,2
12,High,MC,2/11/10,51,1
12,High,MR,2/11/10,51,3
13,High,BC,2/11/10,51,1
13,High,MC,2/11/10,51,4
13,High,MR,2/11/10,51,5
14,High,BC,2/11/10,51,0
14,High,MC,2/11/10,51,3
14,High,MR,2/11/10,51,4
15,High,BC,2/11/10,51,1
15,High,MC,2/11/10,51,2
15,High,MR,2/11/10,51,4
16,High,BC,2/11/10,51,4
16,High,MC,2/11/10,51,3
16,High,MR,2/11/10,51,3
17,High,BC,2/11/10,51,5
17,High,MC,2/11/10,51,1
17,High,MR,2/11/10,51,3
18,High,BC,2/11/10,51,4
18,High,MC,2/11/10,51,2
18,High,MR,2/11/10,51,4
1,Low,BC,2/19/10,59,5
1,Low,MC,2/19/10,59,0
1,Low,MR,2/19/10,59,5
2,Low,BC,2/19/10,59,0
2,Low,MC,2/19/10,59,1
2,Low,MR,2/19/10,59,5
3,Low,BC,2/19/10,59,0
3,Low,MC,2/19/10,59,0
3,Low,MR,2/19/10,59,4
4,Low,BC,2/19/10,59,2
4,Low,MC,2/19/10,59,4
4,Low,MR,2/19/10,59,5
5,Low,BC,2/19/10,59,4
5,Low,MC,2/19/10,59,3
5,Low,MR,2/19/10,59,4
6,Low,BC,2/19/10,59,1
6,Low,MC,2/19/10,59,0
6,Low,MR,2/19/10,59,5
7,Low,BC,2/19/10,59,3
7,Low,MC,2/19/10,59,4
7,Low,MR,2/19/10,59,1
8,Low,BC,2/19/10,59,1
8,Low,MC,2/19/10,59,4
8,Low,MR,2/19/10,59,3
9,Low,BC,2/19/10,59,5
9,Low,MC,2/19/10,59,4
9,Low,MR,2/19/10,59,5
10,High,BC,2/19/10,59,3
10,High,MC,2/19/10,59,4
10,High,MR,2/19/10,59,5
11,High,BC,2/19/10,59,4
11,High,MC,2/19/10,59,4
11,High,MR,2/19/10,59,4
12,High,BC,2/19/10,59,1
12,High,MC,2/19/10,59,1
12,High,MR,2/19/10,59,3
13,High,BC,2/19/10,59,1
13,High,MC,2/19/10,59,3
13,High,MR,2/19/10,59,5
14,High,BC,2/19/10,59,0
14,High,MC,2/19/10,59,3
14,High,MR,2/19/10,59,5
15,High,BC,2/19/10,59,1
15,High,MC,2/19/10,59,2
15,High,MR,2/19/10,59,4
16,High,BC,2/19/10,59,4
16,High,MC,2/19/10,59,3
16,High,MR,2/19/10,59,3
17,High,BC,2/19/10,59,5
17,High,MC,2/19/10,59,2
17,High,MR,2/19/10,59,3
18,High,BC,2/19/10,59,4
18,High,MC,2/19/10,59,2
18,High,MR,2/19/10,59,5
1,Low,BC,2/26/10,66,5
1,Low,MC,2/26/10,66,0
1,Low,MR,2/26/10,66,5
2,Low,BC,2/26/10,66,0
2,Low,MC,2/26/10,66,0
2,Low,MR,2/26/10,66,4
3,Low,BC,2/26/10,66,0
3,Low,MC,2/26/10,66,0
3,Low,MR,2/26/10,66,4
4,Low,BC,2/26/10,66,2
4,Low,MC,2/26/10,66,1
4,Low,MR,2/26/10,66,5
5,Low,BC,2/26/10,66,4
5,Low,MC,2/26/10,66,3
5,Low,MR,2/26/10,66,4
6,Low,BC,2/26/10,66,1
6,Low,MC,2/26/10,66,0
6,Low,MR,2/26/10,66,3
7,Low,BC,2/26/10,66,3
7,Low,MC,2/26/10,66,3
7,Low,MR,2/26/10,66,1
8,Low,BC,2/26/10,66,1
8,Low,MC,2/26/10,66,4
8,Low,MR,2/26/10,66,3
9,Low,BC,2/26/10,66,5
9,Low,MC,2/26/10,66,2
9,Low,MR,2/26/10,66,4
10,High,BC,2/26/10,66,2
10,High,MC,2/26/10,66,4
10,High,MR,2/26/10,66,5
11,High,BC,2/26/10,66,5
11,High,MC,2/26/10,66,3
11,High,MR,2/26/10,66,4
12,High,BC,2/26/10,66,1
12,High,MC,2/26/10,66,1
12,High,MR,2/26/10,66,3
13,High,BC,2/26/10,66,1
13,High,MC,2/26/10,66,4
13,High,MR,2/26/10,66,5
14,High,BC,2/26/10,66,0
14,High,MC,2/26/10,66,3
14,High,MR,2/26/10,66,5
15,High,BC,2/26/10,66,1
15,High,MC,2/26/10,66,2
15,High,MR,2/26/10,66,2
16,High,BC,2/26/10,66,4
16,High,MC,2/26/10,66,2
16,High,MR,2/26/10,66,3
17,High,BC,2/26/10,66,5
17,High,MC,2/26/10,66,1
17,High,MR,2/26/10,66,4
18,High,BC,2/26/10,66,4
18,High,MC,2/26/10,66,2
18,High,MR,2/26/10,66,5
1,Low,BC,3/15/10,83,5
1,Low,MC,3/15/10,83,5
1,Low,MR,3/15/10,83,0
2,Low,BC,3/15/10,83,0
2,Low,MC,3/15/10,83,5
2,Low,MR,3/15/10,83,0
3,Low,BC,3/15/10,83,0
3,Low,MC,3/15/10,83,4
3,Low,MR,3/15/10,83,0
4,Low,BC,3/15/10,83,2
4,Low,MC,3/15/10,83,5
4,Low,MR,3/15/10,83,1
5,Low,BC,3/15/10,83,4
5,Low,MC,3/15/10,83,4
5,Low,MR,3/15/10,83,3
6,Low,BC,3/15/10,83,1
6,Low,MC,3/15/10,83,4
6,Low,MR,3/15/10,83,0
7,Low,BC,3/15/10,83,1
7,Low,MC,3/15/10,83,1
7,Low,MR,3/15/10,83,3
8,Low,BC,3/15/10,83,1
8,Low,MC,3/15/10,83,3
8,Low,MR,3/15/10,83,3
9,Low,BC,3/15/10,83,4
9,Low,MC,3/15/10,83,2
9,Low,MR,3/15/10,83,1
10,High,BC,3/15/10,83,2
10,High,MC,3/15/10,83,5
10,High,MR,3/15/10,83,4
11,High,BC,3/15/10,83,4
11,High,MC,3/15/10,83,5
11,High,MR,3/15/10,83,3
12,High,BC,3/15/10,83,2
12,High,MC,3/15/10,83,3
12,High,MR,3/15/10,83,1
13,High,BC,3/15/10,83,1
13,High,MC,3/15/10,83,5
13,High,MR,3/15/10,83,4
14,High,BC,3/15/10,83,0
14,High,MC,3/15/10,83,5
14,High,MR,3/15/10,83,2
15,High,BC,3/15/10,83,1
15,High,MC,3/15/10,83,1
15,High,MR,3/15/10,83,2
16,High,BC,3/15/10,83,4
16,High,MC,3/15/10,83,3
16,High,MR,3/15/10,83,3
17,High,BC,3/15/10,83,5
17,High,MC,3/15/10,83,3
17,High,MR,3/15/10,83,1
18,High,BC,3/15/10,83,4
18,High,MC,3/15/10,83,5
18,High,MR,3/15/10,83,1
1,Low,BC,4/1/10,100,5
1,Low,MC,4/1/10,100,5
1,Low,MR,4/1/10,100,0
2,Low,BC,4/1/10,100,0
2,Low,MC,4/1/10,100,4
2,Low,MR,4/1/10,100,0
3,Low,BC,4/1/10,100,0
3,Low,MC,4/1/10,100,2
3,Low,MR,4/1/10,100,0
4,Low,BC,4/1/10,100,1
4,Low,MC,4/1/10,100,5
4,Low,MR,4/1/10,100,1
5,Low,BC,4/1/10,100,4
5,Low,MC,4/1/10,100,4
5,Low,MR,4/1/10,100,3
6,Low,BC,4/1/10,100,1
6,Low,MC,4/1/10,100,3
6,Low,MR,4/1/10,100,0
7,Low,BC,4/1/10,100,0
7,Low,MC,4/1/10,100,1
7,Low,MR,4/1/10,100,2
8,Low,BC,4/1/10,100,1
8,Low,MC,4/1/10,100,3
8,Low,MR,4/1/10,100,3
9,Low,BC,4/1/10,100,4
9,Low,MC,4/1/10,100,2
9,Low,MR,4/1/10,100,0
10,High,BC,4/1/10,100,2
10,High,MC,4/1/10,100,5
10,High,MR,4/1/10,100,4
11,High,BC,4/1/10,100,4
11,High,MC,4/1/10,100,4
11,High,MR,4/1/10,100,3
12,High,BC,4/1/10,100,1
12,High,MC,4/1/10,100,3
12,High,MR,4/1/10,100,1
13,High,BC,4/1/10,100,0
13,High,MC,4/1/10,100,5
13,High,MR,4/1/10,100,3
14,High,BC,4/1/10,100,0
14,High,MC,4/1/10,100,4
14,High,MR,4/1/10,100,2
15,High,BC,4/1/10,100,1
15,High,MC,4/1/10,100,1
15,High,MR,4/1/10,100,2
16,High,BC,4/1/10,100,4
16,High,MC,4/1/10,100,3
16,High,MR,4/1/10,100,2
17,High,BC,4/1/10,100,5
17,High,MC,4/1/10,100,3
17,High,MR,4/1/10,100,1
18,High,BC,4/1/10,100,4
18,High,MC,4/1/10,100,5
18,High,MR,4/1/10,100,1
1,Low,BC,5/30/10,159,5
1,Low,MC,5/30/10,159,5
1,Low,MR,5/30/10,159,0
2,Low,BC,5/30/10,159,0
2,Low,MC,5/30/10,159,5
2,Low,MR,5/30/10,159,0
3,Low,BC,5/30/10,159,0
3,Low,MC,5/30/10,159,1
3,Low,MR,5/30/10,159,0
4,Low,BC,5/30/10,159,2
4,Low,MC,5/30/10,159,4
4,Low,MR,5/30/10,159,1
5,Low,BC,5/30/10,159,2
5,Low,MC,5/30/10,159,4
5,Low,MR,5/30/10,159,3
6,Low,BC,5/30/10,159,1
6,Low,MC,5/30/10,159,5
6,Low,MR,5/30/10,159,0
7,Low,BC,5/30/10,159,0
7,Low,MC,5/30/10,159,1
7,Low,MR,5/30/10,159,2
8,Low,BC,5/30/10,159,1
8,Low,MC,5/30/10,159,3
8,Low,MR,5/30/10,159,3
9,Low,BC,5/30/10,159,4
9,Low,MC,5/30/10,159,1
9,Low,MR,5/30/10,159,0
10,High,BC,5/30/10,159,2
10,High,MC,5/30/10,159,5
10,High,MR,5/30/10,159,3
11,High,BC,5/30/10,159,4
11,High,MC,5/30/10,159,3
11,High,MR,5/30/10,159,2
12,High,BC,5/30/10,159,2
12,High,MC,5/30/10,159,4
12,High,MR,5/30/10,159,1
13,High,BC,5/30/10,159,0
13,High,MC,5/30/10,159,5
13,High,MR,5/30/10,159,3
14,High,BC,5/30/10,159,0
14,High,MC,5/30/10,159,5
14,High,MR,5/30/10,159,2
15,High,BC,5/30/10,159,1
15,High,MC,5/30/10,159,1
15,High,MR,5/30/10,159,2
16,High,BC,5/30/10,159,4
16,High,MC,5/30/10,159,2
16,High,MR,5/30/10,159,2
17,High,BC,5/30/10,159,5
17,High,MC,5/30/10,159,3
17,High,MR,5/30/10,159,1
18,High,BC,5/30/10,159,4
18,High,MC,5/30/10,159,5
18,High,MR,5/30/10,159,1
